id,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2z9iuAxKv4TTeCrPAxxKg9,Love Lost,"Mac Miller, The Temper Trap",0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829,audio_features,spotify:track:2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/tracks/2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/audio-analysis/2z9iuAxKv4TTeCrPAxxKg9,162876,4
7pvy3nhtBIQUakHS4OjFqB,Love You Again,Chase Matthew,0.564,0.823,10,-5.319,0,0.0297,0.214,0.0,0.432,0.472,132.113,audio_features,spotify:track:7pvy3nhtBIQUakHS4OjFqB,https://api.spotify.com/v1/tracks/7pvy3nhtBIQUakHS4OjFqB,https://api.spotify.com/v1/audio-analysis/7pvy3nhtBIQUakHS4OjFqB,173636,4
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,0.53,0.406,10,-7.507,1,0.033,0.656,0.0,0.133,0.338,115.94,audio_features,spotify:track:51rfRCiUSvxXlCSCfIztBy,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,https://api.spotify.com/v1/audio-analysis/51rfRCiUSvxXlCSCfIztBy,157147,3
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,Selena Gomez & The Scene,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,audio_features,spotify:track:0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/tracks/0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/audio-analysis/0laYHRpNTS6i8FXdupHkJ4,188453,4
4yMMsS5QaEcsHZkKwdEyLv,Love Potions,"BJ Lips, princess paparazzi",0.66,0.833,11,-5.837,1,0.0331,0.091,0.0,0.203,0.451,121.982,audio_features,spotify:track:4yMMsS5QaEcsHZkKwdEyLv,https://api.spotify.com/v1/tracks/4yMMsS5QaEcsHZkKwdEyLv,https://api.spotify.com/v1/audio-analysis/4yMMsS5QaEcsHZkKwdEyLv,173168,4
3SDJGyVK6sDBkwan0Sxj6R,Love For You,"LOVELI LORI, ovg!",0.721,0.647,1,-9.494,1,0.0472,0.0606,0.272,0.179,0.547,109.254,audio_features,spotify:track:3SDJGyVK6sDBkwan0Sxj6R,https://api.spotify.com/v1/tracks/3SDJGyVK6sDBkwan0Sxj6R,https://api.spotify.com/v1/audio-analysis/3SDJGyVK6sDBkwan0Sxj6R,170233,4
5j0McHPthKpOXRr3fBq8M0,Love in This Club (feat. Young Jeezy),"USHER, Jeezy",0.573,0.712,0,-5.976,1,0.0732,0.0572,0.0,0.167,0.346,140.012,audio_features,spotify:track:5j0McHPthKpOXRr3fBq8M0,https://api.spotify.com/v1/tracks/5j0McHPthKpOXRr3fBq8M0,https://api.spotify.com/v1/audio-analysis/5j0McHPthKpOXRr3fBq8M0,259720,4
0SftJDguUa1F5SsQwwkLw4,Love Me Again,V,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,audio_features,spotify:track:0SftJDguUa1F5SsQwwkLw4,https://api.spotify.com/v1/tracks/0SftJDguUa1F5SsQwwkLw4,https://api.spotify.com/v1/audio-analysis/0SftJDguUa1F5SsQwwkLw4,182293,4
6WmIyn2fx1PKQ0XDpYj4VR,Love It If We Made It,The 1975,0.472,0.745,4,-5.297,1,0.0357,0.000607,2.74e-05,0.0957,0.063,180.06,audio_features,spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/tracks/6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/audio-analysis/6WmIyn2fx1PKQ0XDpYj4VR,252926,4
4e0FYxSROat25pH16zMTZI,Love Me,Lil Tecca,0.719,0.538,11,-6.897,0,0.28,0.632,0.0,0.135,0.803,204.132,audio_features,spotify:track:4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/tracks/4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/audio-analysis/4e0FYxSROat25pH16zMTZI,117013,4
