id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_title,cluster,track_id
07c6aZuJKlhzFzxDTci7w7,0.562,0.688,7.0,-4.474,1.0,0.0263,0.0763,0.0,0.0863,0.617,108.017,audio_features,spotify:track:07c6aZuJKlhzFzxDTci7w7,https://api.spotify.com/v1/tracks/07c6aZuJKlhzFzxDTci7w7,https://api.spotify.com/v1/audio-analysis/07c6aZuJKlhzFzxDTci7w7,202347.0,4.0,Jon Pardi,Head Over Boots,1.0,
07nsmU3kE3ibmjGo1gNROP,0.492,0.519,7.0,-6.886,1.0,0.0288,0.227,8.47e-05,0.0693,0.435,80.868,audio_features,spotify:track:07nsmU3kE3ibmjGo1gNROP,https://api.spotify.com/v1/tracks/07nsmU3kE3ibmjGo1gNROP,https://api.spotify.com/v1/audio-analysis/07nsmU3kE3ibmjGo1gNROP,233333.0,3.0,Zach Bryan,28,1.0,
08SB2OtZkaliju77WYEKxk,0.707,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,audio_features,spotify:track:08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/tracks/08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/audio-analysis/08SB2OtZkaliju77WYEKxk,231498.0,4.0,Summer Walker,No Love (with SZA),5.0,
08v6GcxD4gF8aZ1yuPry0A,0.42,0.898,4.0,-5.51,0.0,0.0947,0.00105,0.000452,0.301,0.226,157.876,audio_features,spotify:track:08v6GcxD4gF8aZ1yuPry0A,https://api.spotify.com/v1/tracks/08v6GcxD4gF8aZ1yuPry0A,https://api.spotify.com/v1/audio-analysis/08v6GcxD4gF8aZ1yuPry0A,279737.0,4.0,Fall Out Boy,Love From The Other Side,5.0,
098cIQAxd52xG8SegYOC5Z,0.614,0.324,0.0,-8.824,1.0,0.03,0.456,0.0,0.122,0.194,145.819,audio_features,spotify:track:098cIQAxd52xG8SegYOC5Z,https://api.spotify.com/v1/tracks/098cIQAxd52xG8SegYOC5Z,https://api.spotify.com/v1/audio-analysis/098cIQAxd52xG8SegYOC5Z,232764.0,4.0,Tanner Usrey,Beautiful Lies,0.0,
09w8qrjf3KStlCa3boiTnd,0.561,0.536,6.0,-6.227,1.0,0.0346,0.0951,0.0,0.114,0.378,150.01,audio_features,spotify:track:09w8qrjf3KStlCa3boiTnd,https://api.spotify.com/v1/tracks/09w8qrjf3KStlCa3boiTnd,https://api.spotify.com/v1/audio-analysis/09w8qrjf3KStlCa3boiTnd,209229.0,4.0,Gabby Barrett,I Hope,7.0,
0A3vD4ErvR6j3PakvY6EBC,0.222,0.354,3.0,-12.629,1.0,0.0353,0.821,0.000406,0.1,0.513,81.586,audio_features,spotify:track:0A3vD4ErvR6j3PakvY6EBC,https://api.spotify.com/v1/tracks/0A3vD4ErvR6j3PakvY6EBC,https://api.spotify.com/v1/audio-analysis/0A3vD4ErvR6j3PakvY6EBC,112013.0,4.0,Nancy Adams,Love,8.0,
0AAMnNeIc6CdnfNU85GwCH,0.751,0.3,4.0,-9.404,0.0,0.0584,0.199,0.000341,0.127,0.0551,120.097,audio_features,spotify:track:0AAMnNeIc6CdnfNU85GwCH,https://api.spotify.com/v1/tracks/0AAMnNeIc6CdnfNU85GwCH,https://api.spotify.com/v1/audio-analysis/0AAMnNeIc6CdnfNU85GwCH,189467.0,4.0,Metro Boomin,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),5.0,
0ACACkoHUwgfgY5CxVIL4N,0.694,0.565,9.0,-12.583,1.0,0.0345,0.194,0.000172,0.0806,0.692,97.938,audio_features,spotify:track:0ACACkoHUwgfgY5CxVIL4N,https://api.spotify.com/v1/tracks/0ACACkoHUwgfgY5CxVIL4N,https://api.spotify.com/v1/audio-analysis/0ACACkoHUwgfgY5CxVIL4N,255067.0,4.0,Bill Withers,Lovely Day,1.0,
0AFDe9XA8JjerFSsnsP1K8,0.523,0.563,4.0,-8.398,0.0,0.0439,0.235,4.01e-06,0.0876,0.323,115.1,audio_features,spotify:track:0AFDe9XA8JjerFSsnsP1K8,https://api.spotify.com/v1/tracks/0AFDe9XA8JjerFSsnsP1K8,https://api.spotify.com/v1/audio-analysis/0AFDe9XA8JjerFSsnsP1K8,181043.0,4.0,Lauren Babic,Lovely,5.0,
