danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.375,0.255,10,-12.279,0,0.0377,0.815,0.0,0.0845,0.331,95.978,audio_features,6nGeLlakfzlBcFdZXteDq7,spotify:track:6nGeLlakfzlBcFdZXteDq7,https://api.spotify.com/v1/tracks/6nGeLlakfzlBcFdZXteDq7,https://api.spotify.com/v1/audio-analysis/6nGeLlakfzlBcFdZXteDq7,316280,3
0.64,0.355,5,-10.599,1,0.0906,0.83,0.000938,0.11,0.451,120.063,audio_features,0tziUvXJBqjdmV8gWxOjfV,spotify:track:0tziUvXJBqjdmV8gWxOjfV,https://api.spotify.com/v1/tracks/0tziUvXJBqjdmV8gWxOjfV,https://api.spotify.com/v1/audio-analysis/0tziUvXJBqjdmV8gWxOjfV,148640,4
0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,3vkCueOmm7xQDoJ17W1Pm3,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4
0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,audio_features,4W4wYHtsrgDiivRASVOINL,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,320680,4
0.591,0.242,0,-10.098,0,0.0312,0.879,0.0,0.15,0.292,118.001,audio_features,3z9OnsnvM6SFN2dzrSDdVO,spotify:track:3z9OnsnvM6SFN2dzrSDdVO,https://api.spotify.com/v1/tracks/3z9OnsnvM6SFN2dzrSDdVO,https://api.spotify.com/v1/audio-analysis/3z9OnsnvM6SFN2dzrSDdVO,143630,3
0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,audio_features,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,258827,4
0.737,0.636,6,-6.308,0,0.0737,0.262,0.0,0.319,0.537,100.033,audio_features,3IPnBzGRMg6BfViFxxa0Gq,spotify:track:3IPnBzGRMg6BfViFxxa0Gq,https://api.spotify.com/v1/tracks/3IPnBzGRMg6BfViFxxa0Gq,https://api.spotify.com/v1/audio-analysis/3IPnBzGRMg6BfViFxxa0Gq,124733,4
0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,audio_features,6YvqWjhGD8mB5QXcbcUKtx,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,https://api.spotify.com/v1/tracks/6YvqWjhGD8mB5QXcbcUKtx,https://api.spotify.com/v1/audio-analysis/6YvqWjhGD8mB5QXcbcUKtx,235767,4
0.574,0.736,5,-4.743,1,0.0465,0.146,1.66e-05,0.407,0.344,138.501,audio_features,5XFoaqV1Z8XaLJidchVWhh,spotify:track:5XFoaqV1Z8XaLJidchVWhh,https://api.spotify.com/v1/tracks/5XFoaqV1Z8XaLJidchVWhh,https://api.spotify.com/v1/audio-analysis/5XFoaqV1Z8XaLJidchVWhh,328573,4
0.414,0.59,1,-7.22,1,0.0986,0.536,0.0,0.142,0.339,170.138,audio_features,3Hp8GJDsH3E7fumfAACH2k,spotify:track:3Hp8GJDsH3E7fumfAACH2k,https://api.spotify.com/v1/tracks/3Hp8GJDsH3E7fumfAACH2k,https://api.spotify.com/v1/audio-analysis/3Hp8GJDsH3E7fumfAACH2k,250588,4
