artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Steven Cade,Country Thing To Do,4qcsbI4duzSGvUoyi5xh5m,0.468,0.892,9,-3.797,1,0.0409,0.00196,0.0,0.346,0.805,99.897,audio_features,spotify:track:4qcsbI4duzSGvUoyi5xh5m,https://api.spotify.com/v1/tracks/4qcsbI4duzSGvUoyi5xh5m,https://api.spotify.com/v1/audio-analysis/4qcsbI4duzSGvUoyi5xh5m,212240,3
HARDY,TRUCK BED,05xdNjmLn8cQvN1qDgXH6c,0.665,0.768,0,-4.887,1,0.0369,0.0884,0.0,0.348,0.77,132.049,audio_features,spotify:track:05xdNjmLn8cQvN1qDgXH6c,https://api.spotify.com/v1/tracks/05xdNjmLn8cQvN1qDgXH6c,https://api.spotify.com/v1/audio-analysis/05xdNjmLn8cQvN1qDgXH6c,167535,4
"City Chief, Dirty Prescott Kids",Country Hustle,4I8Y609rS5vvTmZeQ4VTw5,0.668,0.55,5,-10.415,0,0.342,0.0121,0.0,0.064,0.475,169.912,audio_features,spotify:track:4I8Y609rS5vvTmZeQ4VTw5,https://api.spotify.com/v1/tracks/4I8Y609rS5vvTmZeQ4VTw5,https://api.spotify.com/v1/audio-analysis/4I8Y609rS5vvTmZeQ4VTw5,148689,4
Old Dominion,Dirt on a Road (Radio Edit),2E9E6wIhX7lwqw88isqKyx,0.657,0.742,1,-4.827,1,0.047,0.019,0.0,0.0385,0.924,153.972,audio_features,spotify:track:2E9E6wIhX7lwqw88isqKyx,https://api.spotify.com/v1/tracks/2E9E6wIhX7lwqw88isqKyx,https://api.spotify.com/v1/audio-analysis/2E9E6wIhX7lwqw88isqKyx,176907,4
JamWayne,Country Boy,6bidqYPGTzMWbp4zHoOYtz,0.687,0.754,9,-5.346,1,0.0798,0.171,0.0,0.224,0.314,148.832,audio_features,spotify:track:6bidqYPGTzMWbp4zHoOYtz,https://api.spotify.com/v1/tracks/6bidqYPGTzMWbp4zHoOYtz,https://api.spotify.com/v1/audio-analysis/6bidqYPGTzMWbp4zHoOYtz,167517,4
Dan + Shay,Save Me The Trouble,1TdY3x9x6NdW3masbWz2Hx,0.444,0.629,9,-4.435,1,0.0318,0.00544,0.0,0.271,0.376,134.931,audio_features,spotify:track:1TdY3x9x6NdW3masbWz2Hx,https://api.spotify.com/v1/tracks/1TdY3x9x6NdW3masbWz2Hx,https://api.spotify.com/v1/audio-analysis/1TdY3x9x6NdW3masbWz2Hx,200347,3
Granger Smith,Country Boy Love (feat. Earl Dibbles Jr.),43IIpTvTyEEiDWQknIhngR,0.588,0.795,7,-5.267,1,0.0815,0.187,0.0,0.101,0.725,79.933,audio_features,spotify:track:43IIpTvTyEEiDWQknIhngR,https://api.spotify.com/v1/tracks/43IIpTvTyEEiDWQknIhngR,https://api.spotify.com/v1/audio-analysis/43IIpTvTyEEiDWQknIhngR,212907,4
"Morgan Wallen, Florida Georgia Line",Up Down (feat. Florida Georgia Line),1MRefk8TM7pBjGEML0cCf4,0.589,0.881,6,-3.039,1,0.035,0.0813,0.0,0.143,0.794,129.916,audio_features,spotify:track:1MRefk8TM7pBjGEML0cCf4,https://api.spotify.com/v1/tracks/1MRefk8TM7pBjGEML0cCf4,https://api.spotify.com/v1/audio-analysis/1MRefk8TM7pBjGEML0cCf4,197253,4
"Hank Williams, Jr.",Country State Of Mind,1kn61pt9SLbTNBDOEiKcvU,0.711,0.626,2,-8.992,1,0.0268,0.00592,0.0,0.0696,0.65,117.661,audio_features,spotify:track:1kn61pt9SLbTNBDOEiKcvU,https://api.spotify.com/v1/tracks/1kn61pt9SLbTNBDOEiKcvU,https://api.spotify.com/v1/audio-analysis/1kn61pt9SLbTNBDOEiKcvU,237867,4
Cody Johnson,Dirt Cheap,01IEslO3ACWS6C8PZF89nm,0.62,0.507,1,-5.891,1,0.0307,0.111,0.0,0.101,0.266,120.065,audio_features,spotify:track:01IEslO3ACWS6C8PZF89nm,https://api.spotify.com/v1/tracks/01IEslO3ACWS6C8PZF89nm,https://api.spotify.com/v1/audio-analysis/01IEslO3ACWS6C8PZF89nm,239347,4
